airportID,airportName,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,tz_olson,type,source
6964,Jinggangshan Airport,Jian,China,JGS,ZSJA,26.856899261499997,114.736999512,281,8,U,Asia/Shanghai,airport,OurAirports
6974,Siargao Airport,Siargao,Philippines,IAO,RPNS,9.8591,126.014,10,8,N,Asia/Manila,airport,OurAirports
6991,Ramechhap Airport,Ramechhap,Nepal,RHP,VNRC,27.393999099731445,86.0614013671875,1555,5.75,U,Asia/Katmandu,airport,OurAirports
7033,Strezhevoy Airport,Strezhevoy,Russia,SWT,UNSS,60.709400177,77.66000366210001,164,7,N,Asia/Krasnoyarsk,airport,OurAirports
7036,Bagram Air Base,Kabul,Afghanistan,OAI,OAIX,34.9460983276,69.26499938959999,4895,4.5,U,Asia/Kabul,airport,OurAirports
7037,Prince Sultan Air Base,Al Kharj,Saudi Arabia,AKH,OEPS,24.062700271606445,47.580501556396484,1651,3,N,Asia/Riyadh,airport,OurAirports
7052,Xi'an Xiguan Airport,Xi\'AN,China,SIA,ZLSN,34.376701,109.120003,0,8,U,Asia/Shanghai,airport,OurAirports
7131,Arkalyk North Airport,Arkalyk,Kazakhstan,AYK,UAUR,50.318599700927734,66.95279693603516,1266,6,U,Asia/Qyzylorda,airport,OurAirports
7357,Batagay Airport,Batagay,Russia,BQJ,UEBB,67.648002624512,134.69500732422,696,10,N,Asia/Vladivostok,airport,OurAirports
7457,Foshan Shadi Airport,Foshan,China,FUO,ZGFS,23.083299636799996,113.069999695,6,8,N,Asia/Shanghai,airport,OurAirports
7458,Huizhou Airport,Huizhou,China,HUZ,ZGHZ,23.0499992371,114.599998474,50,8,N,Asia/Shanghai,airport,OurAirports
7470,Ulgii Mongolei Airport,Olgii,Mongolia,ULG,ZMUL,48.9933013916,89.9225006104,5732,7,U,Asia/Hovd,airport,OurAirports
7472,Qurghonteppa International Airport,Kurgan Tyube,Tajikistan,KQT,UTDT,37.86640167236328,68.86470031738281,1473,5,U,Asia/Dushanbe,airport,OurAirports
7475,Olenyok Airport,Olenyok,Russia,ONK,UERO,68.514999,112.480003,847,9,N,Asia/Yakutsk,airport,OurAirports
7476,Saskylakh Airport,Saskylakh,Russia,SYS,UERS,71.92790222168,114.08000183105,0,9,N,Asia/Yakutsk,airport,OurAirports
7490,Al Najaf International Airport,Najaf,Iraq,NJF,ORNI,31.989853,44.404317,103,3,U,Asia/Baghdad,airport,OurAirports
7499,Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,32.604198455799995,65.8657989502,4429,4.5,U,Asia/Kabul,airport,OurAirports
7500,Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,30.972222,61.865833,1572,4.5,U,Asia/Kabul,airport,OurAirports
7501,Chakcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,34.53300094604492,65.26699829101562,7383,4.5,U,Asia/Kabul,airport,OurAirports
7503,Fuyang Xiguan Airport,Fuyang,China,FUG,ZSFY,32.882157,115.734364,104,8,U,Asia/Shanghai,airport,OurAirports
7504,Longyan Guanzhishan Airport,Longyan,China,LCX,ZSLD,25.6746997833,116.747001648,1225,8,U,Asia/Shanghai,airport,OurAirports
7505,Baoshan Yunduan Airport,Baoshan,China,BSD,ZPBS,25.053301,99.168297,5453,8,U,Asia/Shanghai,airport,OurAirports
7506,Xingyi Airport,Xingyi,China,ACX,ZUYI,25.0863888889,104.959444444,4150,8,U,Asia/Shanghai,airport,OurAirports
7508,Liping Airport,Liping,China,HZH,ZUNP,26.32217,109.1499,1620,8,U,Asia/Shanghai,airport,OurAirports
7519,Zhijiang Airport,Zhijiang,China,HJJ,ZGCJ,27.4411111111,109.7,882,8,U,Asia/Shanghai,airport,OurAirports
7527,Lintsang Airfield,Lincang,China,LNJ,ZPLC,23.738100051900002,100.025001526,6230,8,U,Asia/Shanghai,airport,OurAirports
7536,Tarempa Airport,Anambas Islands,Indonesia,MWK,WIOM,3.3481199741363525,106.25800323486328,10,7,N,Asia/Jakarta,airport,OurAirports
7546,Persian Gulf International Airport,Khalije Fars,Iran,PGU,OIBP,27.379601,52.737701,27,3.5,U,Asia/Tehran,airport,OurAirports
7547,Yasouj Airport,Yasuj,Iran,YES,OISY,30.700500488281,51.545101165771,5939,3.5,U,Asia/Tehran,airport,OurAirports
7548,Mosul International Airport,Mosul,Iraq,OSM,ORBM,36.305801,43.1474,719,3,U,Asia/Baghdad,airport,OurAirports
7549,Tajima Airport,Toyooka,Japan,TJH,RJBT,35.51279830932617,134.78700256347656,584,9,U,Asia/Tokyo,airport,OurAirports
7550,Amakusa Airport,Amakusa,Japan,AXJ,RJDA,32.482498,130.158997,340,9,U,Asia/Tokyo,airport,OurAirports
7551,Kikai Airport,Kikai,Japan,KKX,RJKI,28.321300506599997,129.927993774,21,9,U,Asia/Tokyo,airport,OurAirports
7552,Aguni Airport,Aguni,Japan,AGJ,RORA,26.5925006866,127.240997314,38,9,U,Asia/Tokyo,airport,OurAirports
7556,Donoi Airport,Uliastai,Mongolia,ULZ,ZMDN,47.7093,96.5258,5800,8,U,Asia/Ulaanbaatar,airport,OurAirports
7557,Bulgan Airport,Bulgan,Mongolia,UGA,ZMBN,48.85499954223633,103.47599792480469,4311,8,U,Asia/Ulaanbaatar,airport,OurAirports
7558,Ulaangom Airport,Ulaangom,Mongolia,ULO,ZMUG,50.066588,91.938273,0,7,U,Asia/Hovd,airport,OurAirports
7560,Lubang Airport,Lubang,Philippines,LBX,RPLU,13.855400085449219,120.1050033569336,43,8,N,Asia/Manila,airport,OurAirports
7563,Kulob Airport,Kulyab,Tajikistan,TJU,UTDK,37.98809814453125,69.80500030517578,2293,5,U,Asia/Dushanbe,airport,OurAirports
7564,Chi Mei Airport,Cimei,Taiwan,CMJ,RCCM,23.2131004333,119.417999268,63,8,U,Asia/Taipei,airport,OurAirports
7565,Daşoguz Airport,Dasoguz,Turkmenistan,TAZ,UTAT,41.761101,59.826698,272,5,U,Asia/Ashgabat,airport,OurAirports
7700,Phan Rang Airport,Phan Rang,Vietnam,PHA,VVPR,11.6335000992,108.952003479,101,7,N,Asia/Saigon,airport,OurAirports
7701,Na-San Airport,Son-La,Vietnam,SQH,VVNS,21.216999053955078,104.03299713134766,2133,7,N,Asia/Saigon,airport,OurAirports
7766,Syangboche Airport,Syangboche,Nepal,SYH,VNSB,27.8112,86.7124,12400,5.75,N,Asia/Katmandu,airport,OurAirports
7774,Mysore Airport,Mysore,India,MYQ,VOMY,12.23,76.655833,2349,5.5,U,Asia/Calcutta,airport,OurAirports
7853,Al Minhad Air Base,Minhad AB,United Arab Emirates,NHD,OMDM,25.0268001556,55.3661994934,165,4,U,Asia/Dubai,airport,OurAirports
7862,Tengchong Tuofeng Airport,Tengchong,China,TCZ,ZUTC,24.9380555556,98.48583333330001,6250,8,N,Asia/Shanghai,airport,OurAirports
7868,Camp Bastion Airport,Camp Bastion,Afghanistan,OAZ,OAZI,31.863800048799998,64.2246017456,2943,4.5,N,Asia/Kabul,airport,OurAirports
7894,Yushu Batang Airport,Yushu,China,YUS,ZYLS,32.836388888900004,97.0363888889,12816,8,U,Asia/Shanghai,airport,OurAirports
7898,Lianshui Airport,Huai An,China,HIA,ZSSH,33.7908333333,119.125,28,8,N,Asia/Shanghai,airport,OurAirports
7906,Monywar Airport,Monywa,Burma,NYW,VYMY,22.221638,95.093479,298,6.5,N,Asia/Rangoon,airport,OurAirports
7932,Ngari Gunsa Airport,Shiquanhe,China,NGQ,ZUAL,32.1,80.0530555556,14022,8,N,Asia/Shanghai,airport,OurAirports
8043,Zhongwei Shapotou Airport,Zhongwei,China,ZHY,ZLZW,37.573125,105.154454,8202,8,N,Asia/Shanghai,airport,OurAirports
8055,Taichung Airport,Taichung,Taiwan,TXG,RCLG,24.18630027770996,120.65399932861328,369,8,N,Asia/Taipei,airport,OurAirports
8069,Ye Airport,Ye,Burma,XYE,VYYE,15.300000190734863,97.86699676513672,30,6.5,U,Asia/Rangoon,airport,OurAirports
8076,Al Maktoum International Airport,Dubai,United Arab Emirates,DWC,OMDW,24.896356,55.161389,114,4,U,Asia/Dubai,airport,OurAirports
8082,Baise Youjiang Airport,Baise,China,AEB,ZGBS,23.7206001282,106.959999084,490,8,N,Asia/Shanghai,airport,OurAirports
8127,Khost Airport,Khost,Afghanistan,KHT,OAKS,33.3334007263,69.952003479,3756,4.5,N,Asia/Kabul,airport,OurAirports
8130,Namtu Airport,Naypyidaw,Burma,NMT,VYNT,23.083,97.383003,2000,6.5,N,Asia/Rangoon,airport,OurAirports
8146,Sharana Airstrip,Sharona,Afghanistan,OAS,OASA,33.12575,68.838517,7340,4.5,N,Asia/Kabul,airport,OurAirports
8192,Krainiy Airport,Baikonur,Kazakhstan,BXY,UAOL,45.621994,63.210773,317,6,U,Asia/Qyzylorda,airport,OurAirports
8233,Kanas Airport,Burqin,China,KJI,ZWKN,48.2223,86.9959,3921,8,U,Asia/Shanghai,airport,OurAirports
8267,Shank Air Base,Shank,Afghanistan,OAA,OASH,33.9225,69.07722222219999,6890,4.5,N,Asia/Kabul,airport,OurAirports
8340,Turukhansk Airport,Turukhansk,Russia,THX,UOTT,65.797203064,87.9353027344,128,7,N,Asia/Krasnoyarsk,airport,OurAirports
8341,Podkamennaya Tunguska Airport,Bor,Russia,TGP,UNIP,61.589699,89.994003,213,7,N,Asia/Krasnoyarsk,airport,OurAirports
8381,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,ULH,OEAO,26.48,38.1288888889,2050,3,N,Asia/Riyadh,airport,OurAirports
8401,Lombok International Airport,Praya,Indonesia,LOP,WADL,-8.757322,116.276675,319,8,N,Asia/Makassar,airport,OurAirports
8407,Handan Airport,Handan,China,HDG,ZBHD,36.5258333333,114.425555556,229,8,N,Asia/Shanghai,airport,OurAirports
8417,Jixi Xingkaihu Airport,Jixi,China,JXA,ZYJX,45.293,131.193,760,8,N,Asia/Shanghai,airport,OurAirports
8419,Jeongseok Airport,Seogwipo,South Korea,JDG,RKPD,33.3996009827,126.711997986,1171,9,U,Asia/Seoul,airport,OurAirports
8428,Beloyarskiy Airport,Beloyarsky,Russia,EYK,USHY,63.686901,66.698601,82,5,N,Asia/Yekaterinburg,airport,OurAirports
8431,Cesar Lim Rodriguez Airport,Taytay,Philippines,RZP,RPSD,10.81874,119.507697,80,8,U,Asia/Manila,airport,OurAirports
8442,Shigatse Air Base,Shigatse,China,RKZ,ZURK,29.3519,89.311401,3782,8,N,Asia/Shanghai,airport,OurAirports
8469,Hiroshimanishi Airport,Hiroshima,Japan,HIW,RJBH,34.36690139770508,132.41400146484375,15,9,N,Asia/Tokyo,airport,OurAirports
8630,Bayannur Tianjitai Airport,Bayannur,China,RLK,ZBYZ,40.926,107.7428,3400,8,U,Asia/Shanghai,airport,OurAirports
8684,Saravane Airport,Saravane,Laos,VNA,VLSV,15.709439207700001,106.410698891,574,7,U,Asia/Vientiane,airport,OurAirports
8695,Dikson Airport,Dikson,Russia,DKS,UODD,73.51780700683594,80.37966918945312,47,7,N,Asia/Krasnoyarsk,airport,OurAirports
8740,Gorno-Altaysk Airport,Gorno-Altaysk,Russia,RGK,UNBG,51.9667015076,85.8332977295,965,7,N,Asia/Krasnoyarsk,airport,OurAirports
8746,Moma Airport,Honuu,Russia,MQJ,UEMA,66.450861,143.261551,656,11,N,Asia/Srednekolymsk,airport,OurAirports
8752,Nusawiru Airport,Nusawiru,Indonesia,CJN,WI1A,-7.719895,108.488995,16,7,N,Asia/Jakarta,airport,OurAirports
8773,Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,31.55970001220703,64.36499786376953,2464,4.5,U,Asia/Kabul,airport,OurAirports
8774,Lankaran International Airport,Lankaran,Azerbaijan,LLK,UBBL,38.746398925799994,48.8180007935,30,4,U,Asia/Baku,airport,OurAirports
8775,Gabala International Airport,Qabala,Azerbaijan,GBB,UBBQ,40.826667,47.7125,935,4,E,Asia/Baku,airport,OurAirports
8776,Zaqatala International Airport,Zaqatala,Azerbaijan,ZTU,UBBY,41.562222,46.667221,1279,4,E,Asia/Baku,airport,OurAirports
8779,Typliy Klyuch Airport,Khandyga,Russia,KDY,UEMH,62.7890014648,136.854995728,925,9,N,Asia/Yakutsk,airport,OurAirports
8780,Magan Airport,Yakutsk,Russia,GYG,UEMM,62.103484,129.545288,577,9,N,Asia/Yakutsk,airport,OurAirports
8781,Qianjiang Wulingshan Airport,Qianjiang,China,JIQ,ZUQJ,29.5133333333,108.831111111,2075,8,N,Asia/Shanghai,airport,OurAirports
8785,Sondok Airport,Hamhung,North Korea,DSO,ZKSD,39.745201,127.473999,12,8.5,U,Asia/Pyongyang,airport,OurAirports
8825,Bamiyan Airport,Bamyan,Afghanistan,BIN,OABN,34.81700134277344,67.81700134277344,8367,4.5,N,Asia/Kabul,airport,OurAirports
8826,Changbaishan Airport,Baishan,China,NBS,ZYBS,42.066944,127.602222,2874,8,N,Asia/Shanghai,airport,OurAirports
8830,Orang Airport,Chongjin,North Korea,RGO,ZKHM,41.428538,129.647555,12,8.5,U,Asia/Pyongyang,airport,OurAirports
8845,Lingling Airport,Yongzhou,China,LLF,ZGLG,26.338661,111.610043,340,8,U,Asia/Shanghai,airport,OurAirports
8866,Ust-Nera Airport,Ust-Nera,Russia,USR,UEMT,64.550003051758,143.11500549316,1805,10,N,Asia/Vladivostok,airport,OurAirports
8876,Yangzhou Taizhou Airport,Yangzhou,China,YTY,ZSYA,32.5634,119.7198,7,8,N,Asia/Shanghai,airport,OurAirports
8889,Tianshui Maijishan Airport,Tianshui,China,THQ,ZLTS,34.5593986511,105.86000061,3590,8,N,Asia/Shanghai,airport,OurAirports
8921,Kangding Airport,Kangding,China,KGT,ZUKD,30.1575,101.734722,14042,8,N,Asia/Shanghai,airport,OurAirports
8926,Turpan Jiaohe Airport,Turpan,China,TLQ,ZWTP,43.0308,89.0987,934,8,U,Asia/Shanghai,airport,OurAirports
8944,Bodaybo Airport,Bodaibo,Russia,ODO,UIKB,57.866100311299995,114.242996216,919,8,N,Asia/Irkutsk,airport,OurAirports
8949,Mattala Rajapaksa International Airport,Mattala,Sri Lanka,HRI,VCRI,6.284467,81.124128,157,5.5,N,Asia/Colombo,airport,OurAirports
8961,Sir Bani Yas Airport,Sir Bani Yas Island,United Arab Emirates,XSB,OMBY,24.283611,52.580278,25,4,U,Asia/Dubai,airport,OurAirports
8966,Kratie Airport,Kratie,Cambodia,KTI,VDKT,12.48799991607666,106.05500030517578,0,7,N,Asia/Phnom_Penh,airport,OurAirports
8971,Guyuan Liupanshan Airport,Guyuan,China,GYU,ZLGY,36.0788888889,106.216944444,5696,8,U,Asia/Shanghai,airport,OurAirports
8974,Changhai Airport,Changhai,China,CNI,ZYCH,39.2666666667,122.666944444,80,8,N,Asia/Shanghai,airport,OurAirports
8979,Jiagedaqi Airport,Jiagedaqi District,China,JGD,ZYJD,50.371389,124.1175,1205,8,N,Asia/Shanghai,airport,OurAirports
9025,Bijie Feixiong Airport,Bijie,China,BFJ,ZUBJ,27.267066,105.472097,4751,8,N,Asia/Shanghai,airport,OurAirports
9026,Lensk Airport,Lensk,Russia,ULK,UERL,60.7206001282,114.825996399,801,9,N,Asia/Yakutsk,airport,OurAirports
9042,Kavalerovo Airport,Kavalerovo,Russia,KVR,UHWK,44.2726,135.029,730,10,N,Asia/Vladivostok,airport,OurAirports
9091,Srednekolymsk Airport,Srednekolymsk,Russia,SEK,UESK,67.4805,153.7364,60,11,N,Asia/Srednekolymsk,airport,OurAirports
9103,Maranggo Airport,Sulawesi Tenggara,Indonesia,TQQ,WA44,-5.7645702362061,123.91699981689,169,8,N,Asia/Makassar,airport,OurAirports
9107,Yichun Mingyueshan Airport,Yichun,China,YIC,ZSYC,27.8025,114.3062,430,8,U,Asia/Shanghai,airport,OurAirports
9132,Bajura Airport,Bajura,Nepal,BJU,VNBR,29.50200080871582,81.66899871826172,4300,5.75,N,Asia/Katmandu,airport,OurAirports
9148,Kerama Airport,Kerama,Japan,KJP,ROKR,26.168300628699996,127.292999268,156,9,N,Asia/Tokyo,airport,OurAirports
9156,Ekibastuz Airport,Ekibastuz,Kazakhstan,EKB,UASB,51.590999603271484,75.21499633789062,621,6,N,Asia/Qyzylorda,airport,OurAirports
9229,Sigiriya Air Force Base,Sigiriya,Sri Lanka,GIU,VCCS,7.956669807430001,80.7285003662,630,5.5,N,Asia/Colombo,airport,OurAirports
9233,Tak Airport,Tak,Thailand,TKT,VTPT,16.895999908447266,99.25330352783203,478,7,N,Asia/Bangkok,airport,OurAirports
9308,Lüliang Airport,Lvliang,China,LLV,ZBLL,37.683333,111.142778,0,8,N,Asia/Shanghai,airport,OurAirports
9310,Daocheng Yading Airport,Daocheng,China,DCY,ZUDC,29.323056,100.053333,14472,8,N,Asia/Shanghai,airport,OurAirports
9311,Gannan Xiahe Airport,Xiahe city,China,GXH,ZLXH,34.8105,102.6447,10510,8,N,Asia/Shanghai,airport,OurAirports
9371,Markovo Airport,Markovo,Russia,KVM,UHMO,64.667,170.417007,0,12,N,Asia/Anadyr,airport,OurAirports
9373,Zyryanka Airport,Zyryanka,Russia,ZKP,UESU,65.7485,150.8889,140,11,N,Asia/Srednekolymsk,airport,OurAirports
9376,Ust-Maya Airport,Ust-Maya,Russia,UMS,UEMU,60.356998443604,134.43499755859,561,9,N,Asia/Yakutsk,airport,OurAirports
9377,Aldan Airport,Aldan,Russia,ADH,UEEA,58.60279846191406,125.40899658203125,2241,9,N,Asia/Yakutsk,airport,OurAirports
9378,Olyokminsk Airport,Olekminsk,Russia,OLZ,UEMO,60.397499,120.471001,656,9,N,Asia/Yakutsk,airport,OurAirports
9386,Xinyuan Nalati Airport,Xinyuan,China,NLT,ZWNL,43.4318,83.3786,3050,8,U,Asia/Shanghai,airport,OurAirports
9397,Waris Airport,Waris-Papua Island,Indonesia,WAR,WAJR,-3.235,140.994,1500,9,U,Asia/Jayapura,airport,OurAirports
9770,Zhangye Ganzhou Airport,Zhangye,China,YZY,ZLZY,38.8018989563,100.675003052,5280,8,N,Asia/Shanghai,airport,OurAirports
9805,Yerbogachen Airport,Yerbogachen,Russia,ERG,UIKE,61.2750015259,108.029998779,400,8,N,Asia/Irkutsk,airport,OurAirports
9821,Suntar Airport,Suntar,Russia,SUY,UENS,62.185001373291,117.63500213623,452,9,N,Asia/Yakutsk,airport,OurAirports
9843,Jiuhuashan Airport,Chizhou,China,JUH,ZSJH,30.7403,117.6856,60,8,N,Asia/Shanghai,airport,OurAirports
9844,Anshan Air Base,Anshan,China,AOG,ZYAS,41.105301,122.853996,0,8,N,Asia/Shanghai,airport,OurAirports
9845,Saertu Airport,Daqing,China,DQA,ZYDQ,46.7463888889,125.140555556,496,8,N,Asia/Shanghai,airport,OurAirports
9846,Zunyi Xinzhou Airport,Zunyi,China,ZYI,ZUZY,27.5895,107.0007,2920,8,N,Asia/Shanghai,airport,OurAirports
9848,Lindu Airport,Yinchun,China,LDS,ZYLD,47.7520555556,129.019125,791,8,N,Asia/Shanghai,airport,OurAirports
9849,Anshun Huangguoshu Airport,Anshun,China,AVA,ZUAS,26.2605555556,105.873333333,4812,8,N,Asia/Shanghai,airport,OurAirports
9854,Tonghua Sanyuanpu Airport,Tonghua,China,TNH,ZYTN,42.2538888889,125.703333333,1200,8,N,Asia/Shanghai,airport,OurAirports
9857,Suzhou Guangfu Airport,Suzhou,China,SZV,ZSSZ,31.2631,120.401001,0,8,N,Asia/Shanghai,airport,OurAirports
9868,Mulia Airport,Mulia,Indonesia,LII,WAJM,-3.7018,137.957,6527,9,N,Asia/Jayapura,airport,OurAirports
9872,Stenkol Airport,Bintuni,Indonesia,NTI,WASB,-2.1033,133.5164,57,9,N,Asia/Jayapura,airport,OurAirports
9873,Wasior Airport,Wasior,Indonesia,WSR,WASW,-2.721,134.5061,49,9,N,Asia/Jayapura,airport,OurAirports
9874,Silangit Airport,Siborong-Borong,Indonesia,DTB,WIMN,2.25973,98.991898,4700,7,N,Asia/Jakarta,airport,OurAirports
9935,Kualanamu International Airport,Medan,Indonesia,KNO,WIMM,3.642222,98.885278,23,7,N,Asia/Jakarta,airport,OurAirports
